root,lexer,parser,grammar
36;4A;39,IV,10,let go waste;neglect
36;4A;41,II,1,offer hospitality
36;4A;42,I,7,straiten
36;4A;42,II,1,distress
37;28;39,I,11,seal
37;2D;48,I,1,spread
37;31;2D,I,1,cast
37;31;2F,I,3,send away;drive away
37;39;45,I,5,eat;taste;feed
37;39;45,IV,13,feed
37;39;45,X,1,ask for food
37;39;46,I,1,defame
37;3A;4A,I,12,transgress;overflow
37;3A;4A,IV,1,make transgress
37;41;27,IV,3,extinguish;put out
37;41;42,I,3,begin
37;44;28,I,1,seek
37;44;39,I,2,rise
37;44;39,IV,1,inform
37;44;39,VIII,7,look
37;44;42,II,10,divorce
37;44;42,VII,9,set out;proceeed;go forth
37;45;2B,I,2,to;touch
37;45;33,I,5,blind;destory;obliterate
37;45;39,I,8,hope;desire
37;45;46,XII,9,be satisfied;be secure;be content
37;47;31,I,1,purify
37;47;31,II,9,purify
37;47;31,V,5,cleanse;purify
37;48;39,I,2,obey
37;48;39,II,1,prompt
37;48;39,IV,72,obey
37;48;39,V,2,volunteer
37;48;39,X,42,be able;to;be capable
37;48;41,I,8,circulate;go around
37;48;41,V,2,walk;circumambulate
37;48;42,II,1,encircle the neck
37;48;42,IV,1,afford
37;48;44,I,3,prolong;grow long
37;48;44,VI,1,prolong
37;48;4A,I,1,fold
37;4A;28,I,3,seem suitable;remit;do well
37;4A;31,I,1,fly
37;4A;31,V,3,ascribe an evil omen
38;41;31,IV,1,give victory
38;44;44,I,9,continue;remain
38;44;44,II,2,shade
38;44;45,I,110,oppress;wrong
38;44;45,IV,1,darken
38;45;27,I,1,suffer from thirst
38;46;46,I,47,think;assume;guess
38;47;31,I,10,appear;become manifest
38;47;31,III,6,support;back
38;47;31,IV,8,make apparent;reveal
38;47;31,VI,2,support
39;28;27,I,1,care
39;28;2B,I,1,be amused
39;28;2F,I,122,worship
39;28;2F,II,1,enslave
39;28;31,I,1,interpret
39;28;31,VIII,1,learn a lesson
39;28;33,I,2,frown
39;2A;28,X,4,ask for favor
39;2A;2F,IV,14,prepare
39;2A;44,I,1,drag
39;2A;48,I,5,be insolent;exceed;rebell
39;2B;31,I,1,discover
39;2B;31,IV,1,make known
39;2B;48,I,5,act wickedly;commit evil
39;2C;28,I,8,wonder;be amazed;be astonished
39;2C;28,IV,11,please;impress
39;2C;32,I,1,be unable
39;2C;32,IV,4,escape
39;2C;44,I,5,hasten
39;2C;44,II,5,hasten
39;2C;44,IV,1,make hasten
39;2C;44,V,1,hurry
39;2C;44,X,19,seek;hasten
39;2F;2F,I,7,count
39;2F;2F,II,1,count
39;2F;2F,IV,20,prepare
39;2F;2F,VIII,1,count
39;2F;44,I,14,be just
39;2F;48,I,3,transgress;pass beyond
39;2F;48,III,1,be enemies
39;2F;48,V,3,transgress
39;2F;48,VIII,15,transgress
39;30;28,II,41,punish
39;30;31,VIII,5,make excuse
39;31;2C,I,5,ascend
39;31;34,I,2,erect;construct
39;31;36,I,11,display;present;expose;turn away
39;31;36,II,1,hint
39;31;36,IV,32,turn away
39;31;41,I,20,know;recognize
39;31;41,II,2,make known
39;31;41,VI,2,know;recognize
39;31;41,VIII,3,acknowledge;confess
39;31;48,VIII,1,seize
39;31;4A,I,1,unclothe
39;32;28,I,2,escape
39;32;31,II,3,honour;assist
39;32;32,I,1,overpower
39;32;32,II,1,strengthen
39;32;32,IV,1,honor
39;32;44,I,1,set aside
39;32;44,VIII,7,withdraw;leave;keep away
39;32;45,I,4,resolve;decide;determine
39;33;31,VI,1,disagree
39;33;39;33,I,1,depart
39;33;4A,I,30,perhaps
39;34;31,III,1,live
39;34;48,I,1,turn away
39;35;31,I,2,press
39;35;45,I,3,save;protect
39;35;45,VIII,5,hold fast
39;35;45,X,1,save
39;35;4A,I,27,disobey
39;36;36,I,2,bite
39;36;44,I,2,hinder;constrain
39;37;44,II,1,leave untended
39;37;48,I,1,take
39;37;48,IV,8,give
39;38;45,II,2,honor
39;38;45,IV,1,make great
39;41;41,X,3,refrain;be chaste
39;41;48,I,27,forgive;pardon
39;42;28,II,2,look back;return
39;42;28,III,6,retaliate
39;42;28,IV,1,penalize
39;42;2F,I,1,pledge
39;42;2F,II,1,contract
39;42;31,I,5,hamstrung
39;42;44,I,49,understand;reason
39;43;41,I,1,devote
39;44;45,I,382,know
39;44;45,II,41,teach
39;44;45,V,2,learn
39;44;46,IV,12,declare;reveal;proclaim
39;44;48,I,20,be exalted;be high
39;44;48,IV,8,come
39;44;48,X,1,overcome
39;45;2F,V,1,intend
39;45;31,I,4,maintain;build on
39;45;31,II,5,grant life
39;45;31,VIII,1,perform Umrah
39;45;31,X,1,settle
39;45;44,I,276,do;work
39;45;47,I,7,wander blindly
39;45;4A,I,7,be blind
39;45;4A,II,1,obscure
39;46;2A,I,3,suffer;be distressed
39;46;2A,IV,1,put indifficulty
39;46;48,I,1,be humbled
39;47;2F,I,6,make a covenant;promise
39;47;2F,III,11,make a covenant
39;48;2F,I,18,return
39;48;2F,IV,18,return
39;48;30,I,10,seek refuge
39;48;30,IV,1,seek refuge
39;48;30,X,4,seek refuge
39;48;44,I,1,oppress
39;48;46,IV,2,help
39;48;46,VI,2,help
39;48;46,X,4,seek help
39;4A;28,I,1,cause defect
39;4A;4A,I,2,tire
3A;2F;31,III,2,leave behind
3A;2F;48,I,3,leave early
3A;31;28,I,2,set
3A;31;31,I,15,deceive;delude
3A;31;41,VIII,1,take
3A;31;42,IV,17,drown
3A;31;48,IV,2,overpower;arouse
3A;33;44,I,1,wash
3A;33;44,VIII,1,bathe
3A;34;48,I,13,cover
3A;34;48,II,3,cover
3A;34;48,IV,4,cover
3A;34;48,V,1,cover
3A;34;48,X,2,cover
3A;36;28,I,6,be angry
3A;36;36,I,4,lower
3A;37;34,IV,1,darken
3A;41;31,I,65,forgive
3A;41;31,X,40,ask forgiveness
3A;41;44,I,1,neglect
3A;41;44,IV,1,make heedless
3A;44;28,I,15,overcome;defeat
3A;44;38,I,2,be stern
3A;44;38,X,1,become thick
3A;44;42,II,1,close
3A;44;44,I,5,defraud;chain;shackle
3A;44;48,I,2,exceed
3A;44;4A,I,1,boil
3A;45;32,VI,1,wink
3A;45;36,IV,1,close
3A;46;45,I,2,take as war booty
3A;46;4A,I,15,avail;prosper
3A;46;4A,IV,28,avail;enrich
3A;46;4A,X,4,be self-sufficient
3A;48;2B,IV,1,be relieved
3A;48;2B,X,4,seek help
3A;48;35,I,1,dive
3A;48;4A,I,3,err;go astray
3A;48;4A,IV,8,mislead;lead astray
3A;4A;28,VIII,1,backbite
3A;4A;2B,IV,1,be given rain
3A;4A;31,II,4,change
3A;4A;31,V,1,change
3A;4A;36,I,2,subside;fall short
3A;4A;38,I,3,anger;enrage
41;2A;27,I,1,cease
41;2A;2D,I,16,open;give victory
41;2A;2D,II,1,open
41;2A;2D,X,3,seek victory
41;2A;31,I,1,invent
41;2A;31,II,1,subside
41;2A;42,I,1,part
41;2A;46,I,23,persecute;test;try
41;2A;4A,IV,5,give ruling;explain;advise
41;2A;4A,X,6,seek ruling;inquire;ask
41;2C;31,I,2,give lie
41;2C;31,II,6,cause gush
41;2C;31,V,1,gush forth
41;2C;31,VII,1,gush forth
41;2F;4A,I,1,ransom
41;2F;4A,III,1,ransom
41;2F;4A,VIII,7,offer ransom
41;31;2C,I,1,be cleft asunder
41;31;2D,I,16,rejoice
41;31;31,I,6,flee
41;31;34,I,1,spread
41;31;36,I,9,specify;ordain;make obligatory
41;31;37,I,1,hasten
41;31;37,II,5,neglect;fail
41;31;3A,I,2,finish
41;31;3A,IV,3,pour
41;31;42,I,5,divide
41;31;42,II,9,differentiate;make distinction
41;31;42,III,1,part
41;31;42,V,8,be divided
41;31;4A,I,1,invent
41;31;4A,VIII,50,invent
41;32;32,X,3,incite;scare;drive out
41;32;39,I,3,be terrified;be afraid
41;32;39,II,1,remove fear
41;33;2D,I,2,make room
41;33;2D,V,1,make room
41;33;2F,I,3,be corrupted;be ruined
41;33;2F,IV,15,cause corruption
41;33;42,I,10,disobey defiantly
41;34;44,I,4,lose courage
41;35;44,I,5,set out;depart;judge
41;35;44,II,17,make clear;explain in detail
41;36;2D,I,1,shame
41;36;36,VII,3,rush;disperse
41;36;44,II,17,bestow;prefer;favor
41;36;44,V,1,assert superiority
41;36;48,IV,1,go
41;37;31,I,10,create
41;37;31,VII,1,be cleft asunder
41;39;44,I,88,do
41;42;2F,I,2,miss
41;42;2F,V,1,inspect
41;42;47,I,19,understand
41;42;47,V,1,obtain understanding
41;43;31,II,1,think
41;43;31,V,17,ponder;reflect
41;43;47,V,1,wonder
41;44;2D,IV,27,succeed
41;44;42,VII,1,part
41;46;2F,II,1,weaken in mind
41;47;45,II,1,give understanding
41;48;2A,I,3,escape
41;48;31,I,3,overflow;gush forth;boil up
41;48;32,I,3,be successful;attain
41;48;36,II,1,entrust
41;48;42,IV,1,recover
41;4A;27,I,3,return
41;4A;27,IV,3,give;restore
41;4A;27,V,1,incline
41;4A;36,I,2,overflow
41;4A;36,IV,7,depart
42;28;31,IV,1,provide a grave
42;28;33,VIII,1,acquire
42;28;36,I,5,withhold;withdraw;close
42;28;44,I,9,accept
42;28;44,IV,9,approach
42;28;44,V,10,accept
42;2A;31,I,1,be stingy
42;2A;44,I,83,kill
42;2A;44,II,4,kill
42;2A;44,III,54,fight
42;2A;44,VIII,4,fight
42;2D;45,VIII,1,attempt
42;2F;2F,I,4,tear
42;2F;31,I,25,restrict;control;have power
42;2F;31,II,16,determine;plot
42;2F;33,II,1,sanctify
42;2F;45,I,2,precede;proceed
42;2F;45,II,27,send forth;offer
42;2F;45,V,2,precede;proceed
42;2F;45,X,4,advance;precede
42;2F;48,VIII,1,follow
42;30;41,I,9,cast;throw;hurl
42;31;27,I,16,read;recite
42;31;27,IV,1,make recite
42;31;28,I,11,approach;go near
42;31;28,II,5,bring close
42;31;28,VIII,5,approach;go near
42;31;31,I,5,cool;comfort
42;31;31,IV,4,ratify;affirm
42;31;31,X,1,remain
42;31;36,I,1,pass
42;31;36,IV,6,lend;loan
42;31;41,VIII,4,commit;acquire;earn
42;33;37,IV,3,be just
42;33;45,I,2,distribute
42;33;45,III,1,swear
42;33;45,IV,20,swear
42;33;45,VI,1,distribute
42;33;45,X,1,seek division
42;33;48,I,3,harden
42;34;39;31,IV,1,shiver
42;35;2F,I,1,be moderate
42;35;31,I,1,shorten
42;35;31,IV,1,cease
42;35;35,I,20,narrate
42;35;45,I,1,shatter
42;36;36,VII,1,collapse
42;36;4A,I,59,decree;decide;judge
42;37;39,I,12,cut
42;37;39,II,12,cut;divide
42;37;39,V,5,cut;severe
42;39;2F,I,12,sit
42;41;48,I,1,pursue
42;41;48,II,4,send;follow
42;44;28,I,1,return
42;44;28,II,6,turn;alternate
42;44;28,V,1,turn around
42;44;28,VII,17,turn back;return
42;44;39,IV,1,withhold
42;44;44,I,1,be little
42;44;44,II,1,make few
42;44;44,IV,1,carry
42;44;4A,I,1,be displeased
42;46;2A,I,2,be obedient
42;46;37,I,4,despair
42;47;31,I,1,oppress
42;48;44,I,1618,say
42;48;44,V,2,fabricate;make up
42;48;45,I,33,stand up;rise;establish
42;48;45,IV,54,establish
42;48;45,X,10,be upright;be straight;stand firm
42;4A;36,II,2,appoint;destine
43;28;28,I,1,cast
43;28;2A,I,3,be disgraced
43;28;31,I,8,be great
43;28;31,II,4,magnify
43;28;31,IV,1,admire greatly
43;28;31,V,2,be arrogant
43;28;31,X,40,be arrogant
43;28;43;28,I,1,overturn
43;2A;28,I,49,write;prescribe;ordain
43;2A;28,III,1,give writing
43;2A;28,VIII,1,write
43;2A;45,I,21,conceal;hide
43;2B;31,I,2,be many;be numerous
43;2B;31,II,1,increase
43;2B;31,IV,2,be many;be frequent
43;2B;31,X,3,multiply;acquire more
43;2F;31,VII,1,fall and lose luster
43;2F;4A,IV,1,withhold
43;30;28,I,11,deny;lie
43;30;28,II,176,deny;reject
43;31;45,II,2,honor
43;31;45,IV,4,honor;make comfortable;be generous
43;31;47,I,17,dislike;hate
43;31;47,II,1,make hateful
43;31;47,IV,5,compel;force
43;33;28,I,62,earn
43;33;28,VIII,5,earn
43;33;48,I,3,clothe;cover
43;34;37,I,1,strip away
43;34;41,I,14,remove;uncover
43;41;31,I,289,disbelieve
43;41;31,II,14,remove
43;41;31,IV,1,be ngrateful;deny
43;41;41,I,8,restrain;withhold;avert
43;41;44,I,3,take charge;nurse;rear
43;41;44,II,1,put in care
43;41;44,IV,1,entrust
43;41;4A,I,32,be sufficient
43;44;27,I,1,protect
43;44;41,II,7,burden
43;44;45,II,20,speak
43;44;45,V,4,speak
43;45;44,IV,2,perfect;complete
43;46;32,I,3,hoard
43;46;46,IV,3,conceal
43;48;2F,I,24,be near;nearly do;almost do
43;48;31,II,3,wrap
43;48;46,I,1358,be
43;48;4A,I,1,brand
43;4A;2F,I,8,scheme;plot;plan
43;4A;44,I,2,measure
43;4A;44,VIII,2,measure
43;4A;46,X,2,give in;submit
44;28;2B,I,30,remain;stay;hesitate;delay
44;28;33,I,11,obscure;confuse;mix;wear
44;2C;2C,I,2,persist
44;2D;2F,IV,3,deviate;distort
44;2D;42,I,2,join
44;2D;42,IV,4,join
44;30;30,I,1,delight
44;32;45,IV,3,compel;make adhere
44;37;41,V,1,be cautious
44;38;4A,I,1,blaze
44;39;28,I,9,play
44;39;46,I,23,curse
44;3A;48,I,1,make noise
44;41;2A,I,1,turn away
44;41;2A,VIII,2,look back
44;41;2D,I,1,burn
44;41;38,I,1,utter
44;41;41,VIII,1,wind
44;41;48,IV,3,find
44;42;37,VIII,2,pick
44;42;41,I,3,swallow
44;42;45,VIII,1,swallow
44;42;4A,I,14,receive;meet
44;42;4A,II,6,grant;receive
44;42;4A,III,3,they meet
44;42;4A,IV,71,cast;throw;meet;offer
44;42;4A,V,4,cast;throw;offer
44;42;4A,VIII,7,meet
44;45;32,I,3,criticize;insult
44;45;33,I,4,to;touch;have contact
44;45;33,VIII,1,seek
44;45;45,I,2,bring forward;come
44;47;2B,I,2,loll the;tongue
44;47;45,IV,1,inspire
44;47;48,I,1,distract;divert
44;47;48,IV,4,distract;divert
44;48;2A,I,1,not be
44;48;45,I,3,blame
44;48;45,VI,1,blame
44;48;4A,I,3,distort
44;48;4A,II,1,turn aside
44;4A;2A,I,1,deprive
44;4A;33,I,89,not be
44;4A;46,I,2,deal gently;relax
44;4A;46,IV,1,make pliable
45;2A;39,II,18,grant;bestow;provide
45;2A;39,V,11,enjoy
45;2A;39,X,6,profit;benifit;enjoy
45;2B;44,V,1,assume a likeness
45;2D;35,II,2,purify;purge
45;2D;42,I,2,destroy
45;2D;46,VIII,2,test;examine
45;2D;48,I,3,eliminate;erase
45;2F;2F,I,13,spread;extend;prolong
45;2F;2F,IV,10,reinforce;extend;provide;aid
45;31;2C,I,2,release
45;31;2D,I,1,be insolent
45;31;2F,I,1,persist
45;31;31,I,10,pass;continue
45;31;36,I,1,be ill
45;31;4A,I,4,dispute;doubt
45;31;4A,III,1,argue
45;31;4A,VIII,5,dispute;doubt
45;32;42,II,2,disintegrate;disperse
45;33;2D,I,3,wipe
45;33;2E,I,1,transform
45;33;33,I,56,to;touch
45;33;33,VI,2,to;touch
45;33;43,II,1,hold fast
45;33;43,IV,18,retain;withhold
45;33;43,X,3,grasp;hold fast
45;33;48,IV,1,reach evening
45;34;4A,I,21,walk
45;36;4A,I,4,go on;continue;pass
45;37;31,IV,7,shower;send rain
45;37;48,V,1,swagger
45;43;2B,I,4,stay;remain
45;43;31,I,22,plot;scheme;plan
45;43;46,II,13,establish
45;43;46,IV,1,give power
45;44;27,I,6,fill
45;44;27,VIII,1,fill
45;44;43,I,44,possess;have power
45;44;44,IV,3,dictate
45;44;48,IV,9,give respite
45;46;39,I,12,prevent
45;46;46,I,16,favor
45;46;4A,I,3,wish
45;46;4A,II,2,arouse desire
45;46;4A,IV,3,emit
45;46;4A,V,6,wish
45;47;2F,I,1,prepare
45;47;2F,II,1,spread
45;47;44,II,2,give respite
45;47;44,IV,1,give respite
45;48;2A,I,39,die
45;48;2A,IV,21,cause death
45;48;2C,I,1,surge
45;48;31,I,2,shake;sway
45;4A;2F,I,3,shake
45;4A;31,I,1,get provision
45;4A;32,I,2,sepearte;distinguish;stand apart
45;4A;32,V,1,burst
45;4A;32,VIII,1,stand apart
45;4A;44,I,3,deviate;assult;incline
46;27;4A,I,3,distance;become remote;keep away
46;28;27,II,46,inform
46;28;27,IV,4,inform
46;28;27,X,1,ask;inform
46;28;2A,I,1,produce
46;28;2A,IV,16,make grow
46;28;30,I,10,throw;cast
46;28;30,VIII,2,withdraw
46;28;32,VI,1,call
46;28;37,X,1,draw correct conclusion
46;2A;42,I,1,raise
46;2B;31,VIII,1,scatter
46;2C;48,I,2,save;escape
46;2C;48,II,37,save;deliver
46;2C;48,III,1,consult privately
46;2C;48,IV,23,save
46;2C;48,VI,4,hold secret counsel
46;2D;2A,I,4,carve
46;2D;31,I,1,sacrifice
46;2F;48,I,1,call
46;2F;48,III,44,call
46;30;31,I,4,vow;worn
46;30;31,IV,44,warn
46;32;39,I,10,take way;remove;withdraw
46;32;39,III,1,dispute
46;32;39,VI,7,dispute;disagree
46;32;3A,I,4,cause discord
46;32;41,IV,2,be intoxicated
46;32;44,I,6,descend;bring down
46;32;44,II,62,send down;reveal
46;32;44,IV,183,send down;reveal
46;32;44,V,7,descend;bring down
46;33;2E,I,2,abolish;abrogate
46;33;2E,X,1,transcribe
46;33;41,I,3,scatter;blow away;blast
46;33;44,I,2,descend;hasten
46;33;4A,I,35,forget
46;33;4A,IV,7,make forget
46;34;27,II,1,bring up
46;34;27,IV,20,produce;raise
46;34;31,I,3,spread;lay open
46;34;31,IV,3,raise;revive;resurrect
46;34;31,VIII,3,disperse
46;34;32,I,2,rise
46;34;32,IV,1,raise
46;35;28,I,2,be fixed;labour
46;35;2A,IV,2,listen;play attention
46;35;2D,I,5,advise
46;35;31,I,59,help
46;35;31,VI,1,help
46;35;31,VIII,7,defend;help
46;35;31,X,2,seek help
46;36;2C,I,1,roast
46;37;42,I,9,speak
46;37;42,IV,2,make speak
46;38;31,I,87,look;see
46;38;31,IV,12,give respite
46;38;31,VIII,8,wait
46;39;42,I,1,shout
46;39;45,I,18,be excellent
46;39;45,II,1,favor
46;39;45,IV,17,bestow favor
46;3A;36,IV,1,shake
46;41;2E,I,19,blow;breathe
46;41;2F,I,4,be exhausted
46;41;30,I,3,pass
46;41;31,I,8,go forth
46;41;33,V,1,breathe
46;41;33,VI,1,aspire
46;41;34,I,1,pasture
46;41;39,I,31,profit;benifit
46;41;42,III,2,be hypocritical
46;41;42,IV,68,spend
46;41;4A,I,1,exile
46;42;28,II,1,explore
46;42;30,IV,4,save
46;42;30,X,1,take back
46;42;31,I,1,blow
46;42;35,I,7,decrease;reduce;lessen
46;42;36,I,6,break
46;42;36,IV,1,weigh
46;42;45,I,4,resent;take revenge
46;42;45,VIII,6,take retribution
46;43;2B,I,6,break (oath)
46;43;2D,I,14,marry
46;43;2D,IV,3,marry
46;43;2D,X,1,marry
46;43;31,I,1,feel unfamiliar
46;43;31,II,1,disguise
46;43;31,IV,3,deny
46;43;33,I,1,turn
46;43;33,II,1,reverse
46;43;35,I,2,turn
46;43;41,X,3,disdain
46;47;31,I,2,repel
46;47;4A,I,32,forbid
46;47;4A,VI,1,forbid
46;47;4A,VIII,16,refrain;cease;desist
46;48;27,I,1,burden
46;48;28,IV,11,turn
46;4A;44,I,11,reach
47;27;2A,I,4,bring
47;28;37,I,8,go down
47;2C;2F,V,1,arise from sleep for prayer
47;2C;31,I,5,avoid
47;2C;31,III,16,emigrate
47;2C;39,I,1,sleep
47;2F;45,II,1,demolish
47;2F;4A,I,144,guide
47;2F;4A,VIII,40,be guided
47;31;39,I,2,rush;hasten
47;32;27,X,21,mock;ridicule
47;32;32,I,1,shake
47;32;32,VIII,4,stir;move
47;32;45,I,2,defeat
47;34;34,I,1,bring down leaves
47;44;43,I,5,die;be destroyed
47;44;43,IV,51,destroy
47;44;44,IV,4,to;be dedicated
47;45;45,I,8,determine;plan;plot;desire
47;45;45,IV,1,worry
47;48;2F,I,11,be Jewish
47;48;31,VII,1,collapse
47;48;46,IV,2,humiliate
47;48;4A,I,8,desire
47;48;4A,X,1,entice
47;4A;27,II,2,facilitate
47;4A;2A,I,1,Come on
47;4A;2C,I,2,wither;dry
47;4A;45,I,1,roam
48;28;42,IV,1,destroy
48;2A;31,I,1,deprive
48;2B;42,III,1,bound
48;2B;42,IV,1,bind
48;2C;28,I,1,be down
48;2C;2F,I,106,find
48;2C;33,IV,3,feel;sense
48;2C;41,IV,1,make expedition
48;2C;44,I,3,feel fear;be afraid
48;2C;47,II,2,direct;turn
48;2C;47,V,1,turn
48;2D;4A,IV,72,reveal;inspire
48;2F;2F,I,17,love;wish
48;2F;39,I,1,disregard
48;2F;39,II,1,forsake
48;30;31,I,45,leave;forsake
48;31;2B,I,13,inherit
48;31;2B,IV,12,make inherit
48;31;2F,I,2,come
48;31;2F,IV,1,lead
48;31;4A,III,4,hide;conceal;cover
48;31;4A,IV,1,ignite
48;31;4A,VI,2,hide
48;32;31,I,7,bear
48;32;39,I,3,set in rows
48;32;39,IV,2,grant power
48;32;46,I,3,weigh
48;33;37,I,1,penetrate the center
48;33;39,I,6,encompass;extend
48;33;42,I,1,envelops
48;33;42,VIII,1,be full
48;33;45,I,1,brand
48;33;48;33,I,4,whisper
48;35;41,I,13,attribute;ascribe
48;35;44,I,10,join;reach
48;35;44,II,1,convey
48;35;4A,I,1,make
48;35;4A,II,11,enjoin
48;35;4A,IV,5,make;instruct;enjoin
48;35;4A,VI,5,enjoin;transmit
48;36;39,I,21,deliver;give birth
48;36;39,IV,1,be active
48;37;27,I,3,step;trod;trample
48;37;27,III,1,adjust
48;39;2F,I,70,promise
48;39;2F,III,4,appoint
48;39;2F,IV,1,threaten
48;39;2F,VI,1,make an appointment
48;39;38,I,15,instruct;advise;preach
48;39;4A,I,1,be conscious
48;39;4A,IV,2,hoard;keep
48;41;36,IV,1,hasten
48;41;42,II,1,cause reconciliation
48;41;4A,II,18,pay in full;fulfill
48;41;4A,IV,18,fulfill
48;41;4A,V,24,pass away;die
48;41;4A,X,1,take in full
48;42;28,I,1,spread
48;42;2A,II,1,be gathered;an appointed time
48;42;2F,IV,5,kindle;heat;ignite;light
48;42;2F,X,1,kindle
48;42;31,II,1,respect
48;42;39,I,12,fall;occur;fulfill
48;42;39,IV,1,cause
48;42;41,I,3,make stand
48;42;4A,I,16,save;protect
48;42;4A,VIII,166,be righteous;fear (Allah)
48;43;27,V,1,lean
48;43;27,VIII,1,recline
48;43;32,I,1,strike
48;43;44,II,2,entrust;put in charge
48;43;44,V,40,put trust
48;44;2C,I,3,penetrate;pass
48;44;2C,IV,10,cause enter
48;44;2F,I,9,beget;be born
48;44;4A,I,1,be close
48;44;4A,II,30,turn
48;44;4A,V,78,turn
48;46;4A,I,1,slacken
48;47;28,I,22,grant;bestow
48;47;46,I,5,weaken
4A;27;33,I,8,despair
4A;27;33,X,2,despair;give up hope
4A;33;31,II,11,make easy
4A;33;31,V,2,be easy
4A;33;31,X,2,obtain with ease
4A;42;46,IV,12,believe firmly
4A;42;46,X,2,be convinced;be certain
4A;45;45,V,3,aim;do tayammum
